признак,падение качества,std
BCUT2D_MRLOW,0.07102007112453511,0.015015754910912142
NumHDonors,0.043581150319042736,0.006692753884864941
NHOHCount,0.02405451311497274,0.007827695476816781
VSA_EState8,0.021460529121565305,0.0040754864778687425
BCUT2D_MWLOW,0.018255846939115764,0.008456743014009352
SlogP_VSA5,0.015113067016886597,0.00671707528176994
BCUT2D_CHGHI,0.012306583436257998,0.007998268049479016
MolLogP,0.011951717489837227,0.005532309886676308
fr_bicyclic,0.01139744494719884,0.004250161625094887
PEOE_VSA6,0.010422738575109725,0.005588568714704437
Kappa3,0.01015481463290653,0.0068125043960444295
MinPartialCharge,0.008505422276846877,0.0021930688730703424
VSA_EState4,0.007886724975068024,0.0036468527353714798
EState_VSA2,0.006166530946409038,0.0011540502187253388
SPS,0.006163585461755994,0.0022733947707744596
VSA_EState3,0.00592614890213039,0.0022192410748722202
FpDensityMorgan1,0.005790459768310108,0.0014990222692535275
NumSaturatedHeterocycles,0.00539091498869064,0.0015580421702317288
fr_NH2,0.005352494541780328,0.002188910056896439
PEOE_VSA7,0.005166644286453803,0.0023541814298210454
EState_VSA4,0.004662364650044867,0.007776747093906706
Kappa2,0.004234176832836528,0.001770473864458698
qed,0.0042236139362934605,0.0012433674745188782
VSA_EState5,0.004214320262300314,0.0011753251462897731
FpDensityMorgan3,0.00396903404456897,0.006597063151478763
MinAbsEStateIndex,0.003934113660702412,0.003049784973724676
PEOE_VSA10,0.0037756701245130614,0.0018807913500746998
EState_VSA5,0.0037215157928713327,0.0016089374297683949
MaxAbsPartialCharge,0.0034983748386415853,0.0016830407452092856
EState_VSA10,0.003212292641810305,0.0013938995053498838
Chi2v,0.0030623159267414157,0.0019079591126218171
NumAliphaticCarbocycles,0.0028044048176951025,0.0024855372654158294
BCUT2D_LOGPLOW,0.0027254000797260203,0.002259944249830901
VSA_EState6,0.0027036593365241807,0.0013937976063863357
MinEStateIndex,0.002397874389551788,0.0005167316215795552
Kappa1,0.002392389136274084,0.0017597557110264623
Chi1n,0.002302423902600298,0.0006122194577389524
NumAliphaticRings,0.0019126212395437492,0.004318241169543398
BCUT2D_CHGLO,0.001873897907054542,0.001989362041015052
SlogP_VSA3,0.00172941347612314,0.0008479810022394201
SMR_VSA6,0.0017199731153083042,0.0008009248129506544
SMR_VSA4,0.0015595511348993618,0.0017048295505383195
PEOE_VSA11,0.001548799141044735,0.0005471439153023082
TPSA,0.0014671667100873004,0.0017745206210369583
BCUT2D_LOGPHI,0.0013853605855377316,0.0006162591571574395
PEOE_VSA3,0.0013339617072139487,0.0007051859880906512
Chi0,0.0013020155986801507,0.0003930554327377533
fr_C_O_noCOO,0.0012934220665713064,0.0005106213356480502
SMR_VSA10,0.0012341170442555088,0.0019661144182814855
Chi0n,0.0012220571280513043,0.0010770821489236694
SMR_VSA5,0.001159580234199778,0.003129364359652443
VSA_EState2,0.0011131220246558549,0.0016720735569092195
SlogP_VSA2,0.0010089530365387372,0.0005421987187865673
PEOE_VSA9,0.0009561588244197394,0.0015143034291303522
RingCount,0.0009500475527720736,0.0015659208940005786
fr_NH0,0.000882154974055166,0.0006293264373450477
VSA_EState7,0.0008587327867415062,0.0008776030696604064
Chi2n,0.0008484968003369536,0.0005015852215106535
MinAbsPartialCharge,0.0008457743642318882,0.0006956023184274579
BertzCT,0.0007906475119815459,0.001511099455629187
HeavyAtomCount,0.0007491504280714711,0.00030061378156437434
SMR_VSA1,0.0006858942393899725,0.0007280119481792148
PEOE_VSA1,0.0006657224638390996,0.0011190280070965434
fr_Al_OH,0.0006301411542751489,0.0004347742381564136
VSA_EState9,0.0005938415012895493,0.0018662311265378701
SMR_VSA7,0.0005820325717967867,0.0006853702361121832
fr_Al_OH_noTert,0.0005761213551720573,0.0003917018128131647
fr_C_O,0.0005729535615914549,0.00026877860239095657
PEOE_VSA12,0.0005683544392634243,0.0005245181396110149
Chi0v,0.0005676802697369282,0.0004530248241697474
FpDensityMorgan2,0.0005438045211364206,0.0015117323235319118
FractionCSP3,0.0005117364211120884,0.0008256930287264581
fr_aryl_methyl,0.0004900268132340124,0.0006031082754264963
MaxAbsEStateIndex,0.0004605822259653447,0.00034887966693797595
MolMR,0.00043228404068225423,0.00042712113301002257
SlogP_VSA6,0.0004316047966505393,0.0005570429749676616
SlogP_VSA4,0.00042095934904913535,0.00033955115390254604
fr_ester,0.00039248267974892337,0.00012270893351795588
fr_allylic_oxid,0.00039222842909883426,0.000282293834287363
BCUT2D_MRHI,0.0003810317191131757,0.0007069287215368083
AvgIpc,0.0003682466145074059,0.0019081225610061564
EState_VSA9,0.0003591292926828221,0.0009139026758698326
EState_VSA3,0.00034423613622944216,0.0026560061743054796
BalabanJ,0.00033336906254358145,0.003928758551921341
SMR_VSA9,0.00031729251906564837,0.0003466304006034492
Chi1,0.0003140135317451359,0.0007886614788342423
fr_ketone,0.0003115404050354209,0.00015850685073555757
NumRotatableBonds,0.00030022970822071726,0.000911115389696149
NumHeteroatoms,0.00020760563893837403,0.0004939576638712191
NumAromaticCarbocycles,0.00019850131282056482,7.342892583805247e-05
MaxPartialCharge,0.00019761664518760935,0.0006102247843888608
NumSaturatedRings,0.0001959909944388577,0.00010607718790981024
NumHAcceptors,0.00018852857505628762,0.00025868689774261944
VSA_EState1,0.00017789213318884778,0.0008727507429186866
PEOE_VSA2,0.0001413644991210966,0.00027034758122214115
EState_VSA1,0.00011802434633594039,0.0004242960087590569
HeavyAtomMolWt,0.00010684574939578972,0.00038171117163333235
PEOE_VSA13,0.00010151245797111741,7.565828153946064e-05
SlogP_VSA1,9.574933731056057e-05,0.0007168680647760774
NumSaturatedCarbocycles,9.055495520240986e-05,0.0004925410820276107
PEOE_VSA14,7.792264208847377e-05,4.893996161762719e-05
fr_amide,7.50620520990064e-05,8.568269599163344e-05
fr_aniline,5.928893767787047e-05,5.254369041693686e-05
fr_para_hydroxylation,4.354499300457393e-05,2.2191104439487784e-05
SMR_VSA3,3.646073748968248e-05,0.0005341377161371012
NumAromaticRings,3.352048356564108e-05,5.805287157917524e-05
fr_amidine,0.0,0.0
fr_sulfone,0.0,0.0
fr_nitrile,0.0,0.0
fr_azo,0.0,0.0
fr_thiazole,0.0,0.0
fr_phenol,0.0,0.0
fr_ketone_Topliss,0.0,0.0
fr_thiophene,0.0,0.0
fr_lactone,0.0,0.0
fr_methoxy,0.0,0.0
fr_alkyl_halide,0.0,0.0
fr_unbrch_alkane,0.0,0.0
fr_alkyl_carbamate,0.0,0.0
fr_nitro,0.0,0.0
fr_imide,0.0,0.0
fr_Ndealkylation2,0.0,0.0
fr_piperdine,0.0,0.0
fr_nitro_arom,0.0,0.0
fr_imidazole,0.0,0.0
fr_nitro_arom_nonortho,0.0,0.0
fr_sulfonamd,0.0,0.0
fr_oxime,0.0,0.0
fr_sulfide,0.0,0.0
fr_furan,0.0,0.0
fr_morpholine,0.0,0.0
fr_hdrzone,0.0,0.0
fr_pyridine,0.0,0.0
fr_priamide,0.0,0.0
fr_piperzine,0.0,0.0
fr_quatN,0.0,0.0
fr_urea,0.0,0.0
fr_Ndealkylation1,0.0,0.0
fr_ArN,0.0,0.0
PEOE_VSA4,0.0,0.0
PEOE_VSA5,0.0,0.0
SMR_VSA2,0.0,0.0
EState_VSA11,0.0,0.0
fr_Al_COO,0.0,0.0
SlogP_VSA7,0.0,0.0
fr_COO,0.0,0.0
fr_Imine,0.0,0.0
fr_Ar_NH,0.0,0.0
fr_Ar_OH,0.0,0.0
fr_C_S,0.0,0.0
Chi1v,-7.515502834259946e-06,0.000685748288368982
SlogP_VSA10,-1.9067643721393246e-05,0.00028940367301385274
VSA_EState10,-4.031011503244364e-05,0.0002185193802200927
SlogP_VSA8,-4.1352151664258985e-05,0.0001385042896019695
SlogP_VSA11,-4.4768623147437014e-05,3.0494813025809508e-05
NumAliphaticHeterocycles,-5.1015518476763e-05,0.00018563966661248006
SlogP_VSA12,-5.75795379199745e-05,9.664466412067321e-05
fr_ether,-8.686018317258237e-05,0.00028457023716824
PEOE_VSA8,-0.00011039222561093354,0.0008450751675165389
fr_NH1,-0.00017460077688724596,0.0008945023425713047
NOCount,-0.00019586293258955223,0.0002577690659401358
ExactMolWt,-0.00020160485126780037,0.00045997039643429986
NumValenceElectrons,-0.00020253405953818415,0.00031197522248935597
NumAromaticHeterocycles,-0.0002424871116054328,0.0006142522726224485
fr_Ar_N,-0.0004377308610223757,0.0003382593019723427
LabuteASA,-0.0004958464080946773,0.0004253087115705227
BCUT2D_MWHI,-0.0007914400413052275,0.0026545404709059734
MolWt,-0.0009188336277566322,0.0006038344113691833
EState_VSA8,-0.0011377508280369653,0.004756497799877174
HallKierAlpha,-0.0011494775847485372,0.0005932042623065635
Chi3n,-0.0012054255068939534,0.0030748485935660915
EState_VSA7,-0.0012657449458250286,0.0007235171716359206
fr_halogen,-0.0014069426738637786,0.0015232606545235662
EState_VSA6,-0.0014552349671680537,0.0014958340235818124
Ipc,-0.001564878822998772,0.001132248174223869
Chi3v,-0.0016974368390982875,0.0025249008626792965
Chi4n,-0.002534685437934836,0.0023861747684328608
Chi4v,-0.002870449237554029,0.0017522945284008952
